City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
saint-philippe,-21.36,55.77,80.6,78,50,5.82,RE,1583003139
hermanus,-34.42,19.23,73.99,71,0,8.01,ZA,1583003139
nehe,48.48,124.83,4.71,89,29,3.04,CN,1583003139
yellowknife,62.46,-114.35,-2.0,70,75,12.75,CA,1583003140
taltal,-25.4,-70.48,68.88,69,34,8.28,CL,1583003140
lagoa,39.05,-27.98,62.4,86,100,21.72,PT,1583003140
castro,-24.79,-50.01,75.61,53,23,6.02,BR,1583003140
vaini,-21.2,-175.2,78.8,94,40,6.93,TO,1583003140
khatanga,71.97,102.5,4.3,93,98,14.36,RU,1583002985
new norfolk,-42.78,147.06,53.6,87,3,9.17,AU,1583002925
ahipara,-35.17,173.17,64.0,100,99,5.91,NZ,1583003140
vao,-22.67,167.48,79.92,84,100,22.88,NC,1583003140
ponta do sol,32.67,-17.1,68.0,68,75,4.7,PT,1583003000
busselton,-33.65,115.33,68.0,56,46,18.14,AU,1583003141
saint george,37.1,-113.58,59.0,22,100,5.82,US,1583002880
fare,-16.7,-151.02,80.55,81,100,13.09,PF,1583002966
sarankhola,22.31,89.79,65.75,68,0,6.64,BD,1583003141
albany,42.6,-73.97,28.99,57,90,11.41,US,1583003102
namatanai,-3.67,152.43,82.81,76,62,3.58,PG,1583003016
bitung,1.45,125.18,77.0,100,40,4.7,ID,1583003141
rikitea,-23.12,-134.97,79.84,80,99,13.56,PF,1583003141
cape town,-33.93,18.42,73.99,56,0,12.75,ZA,1583003097
punta arenas,-53.15,-70.92,66.2,59,75,27.51,CL,1583003032
bethel,41.37,-73.41,37.0,42,90,12.75,US,1583003138
mataura,-46.19,168.86,48.99,87,57,1.99,NZ,1583003142
road town,18.42,-64.62,82.4,74,40,8.05,VG,1583003142
viedma,-40.81,-63.0,87.85,19,0,11.77,AR,1583003142
east london,-33.02,27.91,68.0,72,75,9.17,ZA,1583003142
sudak,44.85,34.97,35.02,84,47,4.09,UA,1583003142
ushuaia,-54.8,-68.3,60.8,67,75,3.36,AR,1583003139
kruisfontein,-34.0,24.73,63.61,81,23,18.05,ZA,1583002979
doha,25.29,51.53,68.0,77,0,2.24,QA,1583003139
bluff,-46.6,168.33,48.99,87,33,1.99,NZ,1583002938
fortuna,40.6,-124.16,52.0,70,40,12.75,US,1583003143
cabo san lucas,22.89,-109.91,84.0,38,5,10.29,MX,1583003013
jamestown,42.1,-79.24,24.01,73,90,13.87,US,1583003142
bredasdorp,-34.53,20.04,66.2,68,0,19.46,ZA,1583003143
hobart,-42.88,147.33,53.6,87,0,9.17,AU,1583002968
hilo,19.73,-155.09,75.0,73,40,6.93,US,1583002943
nikolskoye,59.7,30.79,28.4,86,90,6.71,RU,1583003143
ayan,56.45,138.17,3.02,74,50,5.03,RU,1583003144
tallahassee,30.44,-84.28,66.99,25,1,16.11,US,1583003070
atuona,-9.8,-139.03,81.59,80,85,18.88,PF,1583003144
kapaa,22.08,-159.32,73.4,69,75,25.28,US,1583003144
huron,41.15,-82.55,30.0,63,40,14.99,US,1583003144
solnechnyy,50.72,136.63,8.1,79,0,5.86,RU,1583003144
luderitz,-26.65,15.16,66.2,88,87,11.41,NA,1583003144
kodiak,57.79,-152.41,28.4,86,90,3.36,US,1583002927
lompoc,34.64,-120.46,66.0,82,90,6.93,US,1583003071
sabha,27.04,14.43,66.72,21,0,6.17,LY,1583003144
grindavik,63.84,-22.43,30.2,100,90,10.29,IS,1583003144
primero de enero,21.95,-78.43,73.4,49,40,18.34,CU,1583003144
nanortalik,60.14,-45.24,15.89,64,0,13.94,GL,1583002935
haines junction,60.75,-137.51,-2.25,94,93,2.73,CA,1583002983
lasa,46.62,10.7,50.0,85,90,8.05,IT,1583003008
lazaro cardenas,17.96,-102.2,89.13,37,0,8.5,MX,1583003145
ribeira grande,38.52,-28.7,62.6,88,75,16.11,PT,1583002927
nuuk,64.18,-51.72,6.8,46,20,13.87,GL,1583002969
tirumullaivasal,11.23,79.83,80.67,72,52,17.34,IN,1583003145
torbay,47.67,-52.73,35.01,77,75,17.22,CA,1583003145
reconquista,-29.15,-59.65,95.18,18,0,7.65,AR,1583003145
ampanihy,-24.7,44.75,72.19,82,83,12.73,MG,1583003145
niquero,20.04,-77.58,77.36,54,38,19.73,CU,1583003145
touros,-5.2,-35.46,89.6,59,40,18.34,BR,1583003146
qaanaaq,77.48,-69.36,-24.41,74,88,5.68,GL,1583002985
viru,-8.42,-78.75,77.0,78,40,11.41,PE,1583003146
guerrero negro,27.98,-114.06,71.42,31,100,12.39,MX,1583003139
longyearbyen,78.22,15.64,-5.8,76,20,11.41,SJ,1583003011
victoria,22.29,114.16,72.0,88,0,3.36,HK,1583003146
esperance,-33.87,121.9,66.2,93,90,12.75,AU,1583002942
naze,28.37,129.48,66.2,100,90,4.7,JP,1583003139
vardo,70.37,31.11,19.11,80,0,10.87,NO,1583003147
lebu,-37.62,-73.65,82.9,30,0,5.99,CL,1583002931
dicabisagan,17.08,122.42,73.99,83,2,5.46,PH,1583003147
hithadhoo,-0.6,73.08,83.17,79,100,15.17,MV,1583003147
port macquarie,-31.43,152.92,66.99,100,83,3.94,AU,1583002942
yanai,33.97,132.12,45.0,100,20,5.82,JP,1583003147
cidreira,-30.18,-50.21,73.4,73,0,10.67,BR,1583003147
alta floresta,-9.88,-56.09,87.8,66,40,4.7,BR,1583003147
vila velha,-20.33,-40.29,79.0,88,40,13.87,BR,1583002933
gamba,-2.65,10.0,78.8,83,100,7.65,GA,1583002987
